Temperature,DewPoint,Humidity,Load
6.02,-2.12,3.28,2505.06
5.31,-2.16,3.27,2172.85
4.82,-2.17,3.26,1983.25
4.39,-2.19,3.26,1890.03
4.09,-2.22,3.25,1920.28
3.93,-2.23,3.24,2181.97
3.88,-2.22,3.24,2755.08
4.78,-1.29,3.48,3588.54
7.67,-1.51,3.42,4381.8
10.52,-1.2,3.5,4822.47
14.92,-1.62,3.39,5160.28
17.18,-1.61,3.39,5224.87
18.74,-1.55,3.41,4857.01
19.61,-1.32,3.48,4292.97
19.56,-1.04,3.55,3970.16
18.09,2.23,4.56,3725.8
14.21,3.35,4.89,3627.57
12,1.01,4.13,3744.04
11.03,0.54,3.99,3946.03
10.07,0.24,3.9,3774.07
9.18,0.1,3.85,3609.56
8.35,0.14,3.86,3509.17
7.63,0.34,3.92,3218.44
7.01,0.89,4.08,2732.89
6.51,1.57,4.29,2236.22
6.1,2.2,4.49,1934.55
5.69,2.75,4.67,1794.75
5.42,3.21,4.83,1744.88
5.38,3.63,4.98,1786.43
5.46,4.01,5.11,2046.26
5.3,4.27,5.2,2639.73
6.11,4.5,5.28,3495.37
8.35,4.83,5.39,4100.15
11.71,5.72,5.74,4425.06
16.05,7.01,6.27,4700.79
18.05,7.6,6.54,4587.83
18.99,7.91,6.7,4320.09
19.36,8.06,6.77,3854.83
19.24,8.08,6.78,3728.22
18.52,8.22,6.85,3645.34
16.1,8.85,7.15,3631.5
15.01,7.85,6.67,3773.07
14.56,7.85,6.67,3959.06
14.12,7.86,6.67,3819.18
13.68,7.85,6.67,3642.91
13.28,7.82,6.65,3437.59
12.78,7.81,6.65,3118.15
11.93,7.83,6.66,2625.17
10.92,7.89,6.69,2151.19
10.14,7.99,6.74,1872.24
9.55,8.19,6.84,1742.76
9.21,8.47,6.97,1677.05
9.01,8.75,7.11,1741.6
8.92,8.99,7.22,2015.91
8.75,9.16,7.3,2665.53
9.64,9.26,7.34,3563.25
12.02,9.33,7.38,4216.66
16.12,9.56,7.49,4555.21
19.04,9.96,7.69,4735.02
20.46,9.89,7.67,4587.51
21.34,9.31,7.39,4337.99
21.72,8.69,7.09,3803.02
21.46,8.22,6.87,3584.54
20.66,8.29,6.91,3412.38
18.07,9.49,7.5,3366.4
15.98,8.22,6.87,3556.61
15.02,8.24,6.87,3795.72
14.45,8.28,6.88,3721.05
13.9,8.32,6.9,3486.17
13.37,8.4,6.94,3242.35
12.73,8.48,6.97,2984.88
12.15,8.52,7,2526.83
11.64,8.55,7.01,2089.41
11.15,8.51,7,1841.38
10.4,8.43,6.97,1716.14
9.76,8.29,6.9,1662.11
9.51,8.09,6.81,1713.38
9.19,7.87,6.7,1970.79
8.95,7.64,6.6,2514.82
9.76,7.51,6.54,3290.15
12.12,7.52,6.53,3866.59
15.54,7.61,6.57,4114.17
19.29,6.95,6.28,4244.72
20.54,6.31,6.02,4109.99
21.22,5.62,5.74,3908.88
21.47,4.94,5.48,3430.73
21.17,4.24,5.22,3270.58
20.15,4.49,5.31,3164.96
16.46,6.61,6.16,3089.77
14.1,4.65,5.37,3253.03
13.18,4.06,5.14,3532.2
12.32,3.52,4.94,3439.96
11.44,3.07,4.79,3285.84
10.64,2.71,4.67,3061.07
9.92,2.45,4.58,2807.75
9.23,2.23,4.51,2386.9
8.61,2.05,4.45,1976.46
8.14,1.97,4.43,1747.21
7.95,1.94,4.42,1627.18
8.19,1.88,4.4,1573.04
8.59,1.83,4.39,1612.11
8.78,1.82,4.38,1823.15
8.11,1.83,4.38,2261.46
8.56,2.6,4.63,2937.46
11.4,2.53,4.6,3543.21
14.17,3,4.75,3933.21
18.46,2.99,4.76,4179.16
20.37,3.12,4.81,4167.51
21.24,3.03,4.78,3970.8
21.51,2.75,4.69,3474.03
20.96,2.59,4.64,3282.55
19.82,4.16,5.21,3126.82
16.58,6.58,6.14,3053.68
14.4,4.54,5.32,3188.59
13.29,4.7,5.38,3414.97
11.89,4.43,5.27,3369.28
10.82,4.1,5.14,3220.53
10.08,3.87,5.06,2998.2
9.48,3.71,5.01,2701.52
9.08,3.53,4.95,2299.54
9.09,3.4,4.9,1920.48
9.34,3.27,4.85,1696.92
9.46,2.91,4.74,1593.68
9.37,2.6,4.63,1554.74
9.15,2.45,4.58,1631.14
9.06,2.21,4.5,1934.98
8.99,1.87,4.39,2659.57
9.89,3.01,4.78,3454.48
11.74,2.4,4.56,3977.41
13.82,2.97,4.74,4196.82
17.49,2.8,4.69,4367.56
20.37,2.75,4.68,4357.64
21.39,3.17,4.82,4138.75
21.55,3.43,4.92,3697.05
21.41,3.71,5.02,3596.6
20.37,5.2,5.58,3506.58
16.97,7.38,6.5,3400.04
14.54,5.63,5.74,3583.3
14.23,5.32,5.61,3747.47
12.92,5.56,5.72,3612.48
12.24,6.36,6.05,3422.96
11.72,7.52,6.54,3194.78
11.19,8.49,6.98,2881.94
11.02,9.08,7.27,2421.08
11.08,9.39,7.42,2004.07
10.9,9.57,7.51,1765.25
10.26,9.64,7.55,1663.33
9.68,9.59,7.53,1622.16
9.11,9.49,7.48,1682.48
8.64,9.3,7.38,1994.58
8.35,9.04,7.25,2724.42
10.01,9.22,7.33,3542.49
11.79,9.66,7.55,4022.3
14.86,9.38,7.41,4223.12
17.96,8.29,6.89,4354.31
19.95,7.6,6.58,4266.32
21.37,7.22,6.42,4095.97
22.08,7.15,6.4,3705.03
21.67,7.41,6.52,3570.16
20.24,9.3,7.44,3409.32
17.47,10.48,8.03,3380.09
15.81,10,7.76,3527.45
14.85,10.61,8.08,3723.85
13.6,11.3,8.45,3574.61
12.89,11.56,8.6,3396.41
12.6,11.65,8.65,3169.22
12.4,11.64,8.65,2860.94
12.22,11.59,8.62,2412.2
12.07,11.52,8.58,2020.15
11.89,11.41,8.52,1754.92
11.75,11.29,8.46,1637.3
11.64,11.18,8.41,1592.06
11.51,11.06,8.34,1668.28
11.37,10.92,8.26,1924.65
11.14,10.75,8.16,2608.92
11.68,10.87,8.22,3344.91
12.52,11.11,8.35,3796.78
14.28,11.29,8.44,3994.8
16.11,11.14,8.36,4224.67
17.44,10.75,8.16,4279.18
17.75,10.4,7.98,4152.27
17.75,10.17,7.86,3871.03
17.43,9.98,7.77,3754.15
16.43,10.13,7.84,3641.52
14.89,10.62,8.1,3572.58
12.98,10.42,7.99,3682.32
11.78,10.17,7.85,3775.96
10.52,9.76,7.64,3654.76
9.58,9.29,7.4,3453.03
8.84,8.75,7.13,3213.61
8.19,8.13,6.83,2904.46
7.73,7.37,6.49,2438.54
7.23,6.45,6.08,2023.65
6.65,5.48,5.69,1782.93
5.91,4.61,5.35,1671.73
5.16,3.99,5.12,1621.33
4.51,3.63,4.99,1686.8
3.95,3.37,4.9,2015.17
3.5,3.16,4.82,2798.06
4.84,3.51,4.93,3629.54
7.01,4.39,5.24,4136.2
10.94,4.5,5.29,4419.2
14.01,2.9,4.72,4623.43
15.59,1.77,4.35,4553
16.65,0.62,4.01,4278.66
17.07,-0.14,3.8,3776.91
16.89,-0.57,3.68,3646.68
16.01,-0.81,3.62,3578.36
12.64,1.85,4.4,3529.85
9.35,1.11,4.15,3705.17
8.37,0.63,4.01,3937.62
7.52,0.24,3.89,3854.14
6.74,-0.1,3.8,3658.26
6,-0.38,3.72,3448.32
5.32,-0.62,3.66,3125.43
4.64,-0.76,3.62,2635.19
3.96,-0.85,3.6,2169.73
3.28,-0.9,3.59,1890.28
2.73,-0.95,3.58,1752
2.34,-1.02,3.56,1708.76
2.05,-1.07,3.54,1774.64
1.86,-1.14,3.53,2110.42
1.64,-1.24,3.5,2973.95
3.91,-1.19,3.51,3676.53
6.51,-0.83,3.6,4114.54
10.57,-0.32,3.74,4624.38
14.82,-1.24,3.49,4821.53
16.63,-1.55,3.41,4654.02
17.9,-2.04,3.29,4436.81
18.63,-2.54,3.17,3906.27
18.46,-2.89,3.09,3661.55
17.32,-2.35,3.22,3561.81
13.55,2.28,4.53,3502.86
11.01,0.63,4.01,3647.54
10.15,0,3.84,3864.04
